date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:29:16	91455/91455	---M--	200	added ('OK')	image/jpeg	etag:%223a02c8-1653f-4f7131abc66b8%22	http://gooberlicious.co.uk/files/5813/9756/1331/mojo4.jpg	site/gooberlicious.co.uk/files/5813/9756/1331/mojo4.jpg	(from http://gooberlicious.co.uk/mojo-brand-development/)
13:29:18	150237/150237	---M--	200	added ('OK')	image/jpeg	etag:%223819f6-24add-4f20a1e0e24a8%22	http://gooberlicious.co.uk/files/3813/9202/5174/simonamstell2.jpg	site/gooberlicious.co.uk/files/3813/9202/5174/simonamstell2.jpg	(from http://gooberlicious.co.uk/simon-amstell/)
13:29:21	151991/151991	---M--	200	added ('OK')	image/jpeg	etag:%223a02dd-251b7-4f7131ac9d438%22	http://gooberlicious.co.uk/files/9713/9756/1332/mojo5.jpg	site/gooberlicious.co.uk/files/9713/9756/1332/mojo5.jpg	(from http://gooberlicious.co.uk/mojo-brand-development/)
13:29:26	95357/95357	---M--	200	added ('OK')	image/jpeg	etag:%223a067f-1747d-502e075aab2a5%22	http://gooberlicious.co.uk/files/1514/1053/7953/redbox5.jpg	site/gooberlicious.co.uk/files/1514/1053/7953/redbox5.jpg	(from http://gooberlicious.co.uk/red-box-recorders/)
13:29:26	130421/130421	---M--	200	added ('OK')	image/jpeg	etag:%223a064d-1fd75-502e075918555%22	http://gooberlicious.co.uk/files/6814/1053/7951/redbox3.jpg	site/gooberlicious.co.uk/files/6814/1053/7951/redbox3.jpg	(from http://gooberlicious.co.uk/red-box-recorders/)
13:29:27	218580/218580	---M--	200	added ('OK')	image/jpeg	etag:%22400c8e-355d4-53fc58755c356%22	http://gooberlicious.co.uk/files/1114/7749/2495/bayer1.jpg	site/gooberlicious.co.uk/files/1114/7749/2495/bayer1.jpg	(from http://gooberlicious.co.uk/bayer-crop-science/)
13:29:29	162563/162563	---M--	200	added ('OK')	image/jpeg	etag:%22282e38-27b03-4f1c51333b8b4%22	http://gooberlicious.co.uk/files/6613/9172/8639/redbox2.jpg	site/gooberlicious.co.uk/files/6613/9172/8639/redbox2.jpg	(from http://gooberlicious.co.uk/red-box-recorders/)
13:29:30	187918/187918	---M--	200	added ('OK')	image/jpeg	etag:%22282e1d-2de0e-4f1c4f33ff144%22	http://gooberlicious.co.uk/files/9913/9172/8103/redbox1.jpg	site/gooberlicious.co.uk/files/9913/9172/8103/redbox1.jpg	(from http://gooberlicious.co.uk/red-box-recorders/)
13:29:30	174988/174988	---M--	200	added ('OK')	image/jpeg	etag:%223a0668-2ab8c-502e075a0c795%22	http://gooberlicious.co.uk/files/5014/1053/7952/redbox4.jpg	site/gooberlicious.co.uk/files/5014/1053/7952/redbox4.jpg	(from http://gooberlicious.co.uk/red-box-recorders/)
13:29:35	259006/259006	---M--	200	added ('OK')	image/jpeg	etag:%22400ca9-3f3be-53fc5875fd576%22	http://gooberlicious.co.uk/files/6614/7749/2495/bayer2.jpg	site/gooberlicious.co.uk/files/6614/7749/2495/bayer2.jpg	(from http://gooberlicious.co.uk/bayer-crop-science/)
